Name,Address,Borough,Coordinate
Shirley a Chisholm Post Office,"1915 Fulton St, Brooklyn, NY 11233",Brooklyn,"(40.6790166, -73.9201934)"
Spring Creek Post Office,"1310 Pennsylvania Ave Ste 1, Brooklyn, NY 11239",Brooklyn,"(40.6487176, -73.883218)"
Sunset Post Office,"6102 5th Ave Ste 1, Brooklyn, NY 11220",Brooklyn,"(40.6389277, -74.01701419999999)"
Times Plaza Post Office,"539 Atlantic Ave, Brooklyn, NY 11217",Brooklyn,"(40.6851273, -73.97958609999999)"
Times Plaza Annex Post Office,"594 Dean St, Brooklyn, NY 11238",Brooklyn,"(40.6804526, -73.9702387)"
Van Brunt Post Office,"275 9th St, Brooklyn, NY 11215",Brooklyn,"(40.66986259999999, -73.9871359)"
Vanderveer Post Office,"2319 Nostrand Ave, Brooklyn, NY 11210",Brooklyn,"(40.6284295, -73.946911)"
Williamsburg Post Office,"263 S 4th St, Brooklyn, NY 11211",Brooklyn,"(40.7100902, -73.9572439)"
Wyckoff Heights Post Office,"86 Wyckoff Ave, Brooklyn, NY 11237",Brooklyn,"(40.70437, -73.9197701)"
26 Federal Plaza Post Office,"26 Federal Plz Lobby 1, New York, NY 10278",Manhattan,"(40.7153737, -74.0042596)"
Ansonia Post Office,"178 Columbus Ave, New York, NY 10023",Manhattan,"(40.7748237, -73.9809643)"
Appraisers Stores Post Office,"580 5th Ave Ste 407, New York, NY 10036",Manhattan,"(40.7569997, -73.9791104)"
Audubon Post Office,"511 W 165th St, New York, NY 10032",Manhattan,"(40.8386214, -73.93895789999999)"
Bryant Post Office,"23 W 43rd St, New York, NY 10036",Manhattan,"(40.7548048, -73.98155229999999)"
Canal Street Post Office,"350 Canal St Ste 2a, New York, NY 10013",Manhattan,"(40.7204824, -74.00403639999999)"
Cathedral Post Office,"215 W 104th St, New York, NY 10025",Manhattan,"(40.79988650000001, -73.96725409999999)"
Centralized Parcel Post Post Office,"341 9th Ave Bsmt Bb30, New York, NY 10199",Manhattan,"(40.7505048, -73.99879)"
Cherokee Post Office,"1483 York Ave Front 1, New York, NY 10075",Manhattan,"(40.7711333, -73.9508409)"
Chinatown Post Office,"6 Doyers St, New York, NY 10013",Manhattan,"(40.714453, -73.9979012)"
Church Street Post Office,"90 Church St Fl 1, New York, NY 10007",Manhattan,"(40.7127311, -74.01068649999999)"
College Station Post Office,"217 W 140th St, New York, NY 10030",Manhattan,"(40.8192729, -73.9425492)"
Colonial Park Post Office,"99 Macombs Pl, New York, NY 10039",Manhattan,"(40.8276918, -73.93644139999999)"
Columbia University Post Office,"534 W 112th St, New York, NY 10025",Manhattan,"(40.8049422, -73.9649629)"
Columbus Circle Post Office,"27 W 60th St, New York, NY 10023",Manhattan,"(40.76964410000001, -73.9833283)"
Cooper Post Office,"93 4th Ave, New York, NY 10003",Manhattan,"(40.7320147, -73.9897567)"
Fdr Station Post Office,"909 3rd Ave Office, New York, NY 10022",Manhattan,"(40.7583293, -73.96798869999999)"
Fort George Post Office,"4558 Broadway, New York, NY 10040",Manhattan,"(40.858922, -73.93107309999999)"
Fort Washington Post Office,"556 W 158th St Front 1, New York, NY 10032",Manhattan,"(40.8342918, -73.9440219)"
Gracie Post Office,"229 E 85th St, New York, NY 10028",Manhattan,"(40.7777356, -73.9527897)"
Grand Central Post Office,"450 Lexington Ave Fl 2, New York, NY 10017",Manhattan,"(40.7532476, -73.97546969999999)"
Greeley Square Post Office,"4 E 27th St, New York, NY 10001",Manhattan,"(40.7437685, -73.9874179)"
Hamilton Grange Station Post Office,"521 W 146th St, New York, NY 10031",Manhattan,"(40.82670359999999, -73.94831239999999)"
Hanover Post Office,"1 Hanover St Fl 1, New York, NY 10005",Manhattan,"(40.70558399999999, -74.00872000000001)"
Hellgate Station Post Office,"153 E 110th St, New York, NY 10029",Manhattan,"(40.7947814, -73.94383499999999)"
High Line Finance Post Office,"426a W 14th St, New York, NY 10014",Manhattan,"(40.741256, -74.006843)"
Inwood Post Office,"90 Vermilyea Ave, New York, NY 10034",Manhattan,"(40.8662514, -73.92289319999999)"
James a Farley Post Office,"421 8th Ave, New York, NY 10001",Manhattan,"(40.7515125, -73.9963224)"
Knickerbocker Post Office,"128 E Broadway, New York, NY 10002",Manhattan,"(40.7141469, -73.9918872)"
Lenox Hill Post Office,"217 E 70th St, New York, NY 10021",Manhattan,"(40.7680878, -73.9600909)"
Lenox Hill North Post Office,"909 3rd Ave Ste 400, New York, NY 10022",Manhattan,"(40.7583293, -73.96798869999999)"
Lenox Hill South Post Office,"909 3rd Ave Ste 401, New York, NY 10022",Manhattan,"(40.7583293, -73.96798869999999)"
Lincolnton Post Office,"2266 5th Ave, New York, NY 10037",Manhattan,"(40.8152095, -73.9362117)"
London Terrace Post Office,"234 10th Ave, New York, NY 10011",Manhattan,"(40.7481458, -74.0036062)"
Madison Square Post Office,"149 E 23rd St, New York, NY 10010",Manhattan,"(40.7395252, -73.9836502)"
Manhattanville Post Office,"365 W 125th St Ste 2a, New York, NY 10027",Manhattan,"(40.8114473, -73.9531111)"
Midtown Post Office,"223 W 38th St, New York, NY 10018",Manhattan,"(40.7542806, -73.9900275)"
Morningside Post Office,"232 W 116th St, New York, NY 10026",Manhattan,"(40.80360719999999, -73.9542362)"
Morningside Annex Post Office,"365 W 125th St Ste 2b, New York, NY 10027",Manhattan,"(40.8114473, -73.9531111)"
Murray Hill Post Office,"115 E 34th St Front 1, New York, NY 10016",Manhattan,"(40.7468519, -73.9802933)"
Murray Hill Annex Post Office,"205 E 36th St, New York, NY 10016",Manhattan,"(40.7468821, -73.9766382)"
Old Chelsea Post Office,"217 W 18th St, New York, NY 10011",Manhattan,"(40.7416733, -73.9987543)"
Parcel Post Annex Post Office,"909 3rd Ave Ste 300, New York, NY 10022",Manhattan,"(40.7583293, -73.96798869999999)"
Park West Post Office,"700 Columbus Ave Front 4, New York, NY 10025",Manhattan,"(40.7921145, -73.9683676)"
Patchin Post Office,"70 W 10th St, New York, NY 10011",Manhattan,"(40.7345466, -73.99855219999999)"
Peck Slip Post Office,"114 John St, New York, NY 10038",Manhattan,"(40.7075453, -74.00593909999999)"
Peter Stuyvesant Post Office,"335 E 14th St, New York, NY 10009",Manhattan,"(40.731838, -73.9831428)"
Pitt Post Office,"185 Clinton St, New York, NY 10002",Manhattan,"(40.7153795, -73.9872784)"
Planetarium Post Office,"127 W 83rd St, New York, NY 10024",Manhattan,"(40.7851049, -73.9745088)"
Prince Annex Post Office,"350 Canal St Ste 2b, New York, NY 10013",Manhattan,"(40.7204824, -74.00403639999999)"
